problem_id,sample_count,matcher_version,freq_BFS,freq_DFS_RECURSIVE,freq_DFS_ITERATIVE,freq_BINARY_SEARCH,freq_DP,freq_GREEDY,freq_DSU,avg_loop_count,avg_max_loop_depth,avg_has_recursion,avg_function_count,avg_subscript_count
p02537,60,1,0.0,0.1,0.0,0.05,0.7167,0.0333,0.0,4.5167,1.1333,0.2333,8.85,11.9167
p02540,60,1,0.2167,0.2167,0.1167,0.05,0.6,0.4833,0.1167,10.6333,1.7833,0.3167,15.6667,38.1333
p02548,60,1,0.0167,0.0167,0.0167,0.0167,0.05,0.0167,0.0333,2.6,1.35,0.1,2.65,2.8
p02549,60,1,0.0167,0.0333,0.0,0.0,0.8167,0.15,0.0,4.8667,1.9,0.15,6.75,17.25
p02557,60,1,0.0833,0.0167,0.05,0.0167,0.15,0.1333,0.0,6.1833,1.4,0.1833,5.45,18.8333
p02564,60,1,0.2667,0.1333,0.2,0.0,0.35,0.0833,0.0,13.1333,1.8,0.3,17.7333,37.4333
p02617,60,1,0.0333,0.0167,0.0,0.0167,0.0167,0.0,0.0167,2.5667,0.95,0.1833,6.6833,7.0333
p02637,31,1,0.0323,0.129,0.0323,0.0323,0.2581,0.1935,0.0,12.5161,1.9677,0.2581,10.871,38.129
p02651,60,1,0.0,0.0,0.0,0.0,0.15,0.1333,0.0,4.4,2.1333,0.0833,4.2667,6.7333
p02662,60,1,0.0,0.1333,0.0,0.0,0.1333,0.0667,0.0,3.5667,1.7667,0.2333,7.9,18.9833
p02681,60,1,0.0,0.0167,0.0,0.0,0.0167,0.0,0.0,0.4,0.3,0.05,1.5333,1.3833
p02691,60,1,0.0,0.0,0.0,0.0167,0.0167,0.0667,0.0,1.5833,0.9167,0.0333,1.1167,5.2667
p02703,60,1,0.3833,0.0,0.0167,0.0,0.3167,0.0,0.0,5.7333,2.0,0.25,5.9667,27.5333
p02709,60,1,0.0,0.0833,0.0,0.0,0.4333,0.6167,0.0,2.9667,1.6833,0.3,3.0,18.0
p02745,60,1,0.0,0.0333,0.0,0.0167,0.05,0.0833,0.0,6.4,2.0833,0.05,6.3833,24.2
p02751,38,1,0.0,0.4474,0.0,0.0,0.3947,0.0,0.0,4.1316,2.0263,0.5263,6.2105,11.2632
p02758,60,1,0.0333,0.1333,0.0167,0.0333,0.8333,0.6833,0.0167,4.6667,1.3667,0.3,5.3,20.7167
p02787,60,1,0.0,0.0667,0.0,0.0,0.7167,0.0167,0.0,2.45,1.4,0.15,1.8,11.8167
p02804,60,1,0.0167,0.0,0.0,0.0,0.75,0.65,0.0333,4.1,1.0833,0.2667,7.55,17.95
p02814,60,1,0.0,0.05,0.0,0.0167,0.0333,0.0667,0.0167,3.3833,1.1333,0.3333,5.8667,6.6333
p02816,60,1,0.0833,0.05,0.0833,0.1,0.4833,0.0833,0.05,9.6167,1.6667,0.1833,32.0,46.2167
p02831,60,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5167,0.4167,0.2833,1.9,0.0333
p02838,60,1,0.0,0.0167,0.0,0.0,0.0167,0.0,0.0,2.4167,1.4167,0.1333,3.3833,4.3833
p02852,60,1,0.35,0.0333,0.3333,0.0667,0.2333,0.0167,0.0167,3.3333,1.5667,0.1667,3.5,6.05
p02886,60,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7833,1.4833,0.0167,0.9167,2.2167
p02896,30,1,0.0,0.0,0.0,0.0,0.7,0.0,0.0,15.3,3.3,0.2333,7.3667,73.2
p02899,60,1,0.0333,0.0,0.0,0.0167,0.0333,0.2667,0.0167,2.8667,0.95,0.0667,3.5167,6.9
p02926,60,1,0.0167,0.0,0.0167,0.0,0.0667,0.5667,0.0,3.9333,1.8333,0.1333,6.0,11.6833
p02996,60,1,0.0,0.0,0.0,0.0,0.0,0.65,0.0,1.7167,0.8833,0.0833,1.7167,3.25
p02997,60,1,0.0,0.0167,0.0,0.0,0.0167,0.0167,0.0,3.6333,1.8667,0.05,1.1833,1.9667
p03009,46,1,0.0217,0.0217,0.0,0.0,0.6957,0.0,0.0217,4.6304,1.1087,0.1739,12.5652,18.8696
p03022,31,1,0.0,0.0645,0.0,0.0,0.4194,0.0,0.0,9.0645,2.4194,0.2258,8.0968,23.129
p03044,60,1,0.3667,0.3333,0.0333,0.0167,0.4833,0.0,0.0167,3.5333,1.5667,0.3667,2.6333,12.7667
p03047,60,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2833,0.1167,0.0833,1.5,0.25
p03064,60,1,0.0,0.0667,0.0,0.0,0.6167,0.05,0.0,4.5333,1.85,0.25,3.0167,22.1333
p03065,60,1,0.0667,0.0333,0.0667,0.0333,0.3,0.2667,0.0,8.9,2.1333,0.4333,4.85,12.2
p03067,60,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0833,0.0333,0.0667,1.05,0.4333
p03080,60,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.5833,0.0333,1.8,1.7
p03081,60,1,0.0167,0.0,0.0,0.6333,0.0167,0.0167,0.0167,3.9,1.2333,0.1333,3.8833,7.45
p03095,60,1,0.0167,0.0,0.0,0.0,0.0167,0.0,0.0,2.0167,0.9833,0.0667,3.3,3.7167
p03112,60,1,0.0,0.0,0.0,0.0833,0.0167,0.0667,0.0,3.1167,1.4333,0.15,3.9333,14.5333
p03114,30,1,0.0,0.4333,0.0,0.0,0.6,0.3,0.2,10.6667,2.2333,0.6667,16.2667,52.4667
p03130,60,1,0.0,0.0333,0.0,0.0,0.0167,0.0333,0.0,1.5,0.85,0.0833,1.25,4.3167
p03183,60,1,0.0,0.0333,0.0,0.0,0.5833,0.7667,0.0,2.7667,1.65,0.1333,3.0833,13.85
p03198,56,1,0.0179,0.0357,0.0536,0.0179,0.5,0.0,0.0536,7.2321,2.0,0.1964,6.7321,26.5893
p03221,60,1,0.0,0.0,0.0,0.0,0.05,0.8333,0.0,3.1333,1.1667,0.05,2.2833,9.8833
p03229,60,1,0.1167,0.0167,0.0333,0.0167,0.05,0.6833,0.0167,3.8667,0.85,0.0833,6.5167,20.8333
p03247,60,1,0.0,0.05,0.0,0.0,0.05,0.0167,0.0,4.3667,1.7333,0.2,2.8,16.0667
p03254,60,1,0.0,0.0,0.0,0.0,0.0,0.7667,0.0,1.25,0.85,0.05,1.1667,2.1
p03255,60,1,0.0,0.0,0.0,0.0,0.4833,0.0667,0.0,3.15,1.7333,0.0667,2.3,6.3833
p03289,60,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0667,0.8333,0.0,0.75,3.2
p03308,60,1,0.0,0.0,0.0,0.0,0.0333,0.0167,0.0167,1.2167,0.6,0.0333,2.1,3.1333
p03322,32,1,0.0,0.0625,0.0,0.0,0.625,0.0,0.0,6.125,1.2812,0.2188,7.0938,45.3125
p03326,60,1,0.0,0.0167,0.0,0.0,0.0333,0.45,0.0167,3.5,2.15,0.0667,2.1333,11.0
p03330,60,1,0.0,0.0167,0.0,0.0,0.0,0.0667,0.0,6.9833,2.9667,0.1,2.95,16.1167
